Original,Fuzzy
Blood,Blood
Nat Commun,Nat Commun
Nat Immunol,Nat Immunol
J Dairy Sci,J Dairy Sci
Biochim Biophys Acta,Biochim Biophys Acta
Cancer Immunol Immunother,Cancer Immunol Immunother
Mol Cancer,Mol Cancer
Cell Metab,Cell Metab
Oncogene,Oncogene
Carcinogenesis,Carcinogenesis
Diabetes,Diabetes
Oxidative Medicine and Cellular Longevity,Oxidative Medicine and Cellular Longevity
Cell Rep,Cell Rep
Cell Physiol Biochem,Cell Physiol Biochem
Eur J Med Chem,Eur J Med Chem
Circ Res,Circ Res
Endocrinology,Endocrinology
J Steroid Biochem Mol Biol,J Steroid Biochem Mol Biol
J Lipid Res,J Lipid Res
J Endocrinol,J Endocrinol
PLoS One,PLoS One
J Biol Chem,J Biol Chem
Trends Mol Med,Trends Mol Med
J Immunol,J Immunol
Lasers Surg Med,Lasers Surg Med
Biomaterials,Biomaterials
Exp Cell Res,Exp Cell Res
Mol Cell Endocrinol,Mol Cell Endocrinol
Adipocyte,Adipocyte
J Exp Med,J Exp Med
FEBS J,FEBS J
Free Radic Biol Med,Free Radic Biol Med
J Pharmacol Exp Ther,J Pharmacol Exp Ther
DNA Repair (Amst),DNA Repair (Amst)
Mol Nutr Food Res,Mol Nutr Food Res
Int J Biochem Cell Biol,Int J Biochem Cell Biol
Mitochondrion,Mitochondrion
Nature,Nature
Cell Death Dis,Cell Death Dis
Cells,Cells
J Physiol,J Physiol
PLoS Pathog,PLoS Pathog
Pharmacol Res,Pharmacol Res
Toxicol In Vitro,Toxicol In Vitro
Brain,Brain
PLoS Genet,PLoS Genet
Mol Syst Biol,Mol Syst Biol
Nat Chem Biol,Nat Chem Biol
Cell,Cell
Mol Cell Biol,Mol Cell Biol
Revista Brasileira de Farmacognosia,Revista Brasileira de Farmacognosia
Nucleic Acids Res,Nucleic Acids Res
Int J Cardiol,Int J Cardiol
Cell Death Differ,Cell Death Differ
Mol Metab,Mol Metab
Cancer Cell Int,Cancer Cell Int
Eur J Paed Neurol,Eur J Paed Neurol
Am J Physiol Endocrinol Metab,Am J Physiol Endocrinol Metab
Arroyo JD,Arroyo JD
J Pathol,J Pathol
Journal of Materials Chemistry B,Journal of Materials Chemistry B
Bio-Protocol,Bio-Protocol
Anal Biochem,Anal Biochem
bioRxiv,bioRxiv
Neurochem Res,Neurochem Res
Genes Dev,Genes Dev
Mol Cell,Mol Cell
Medicine (Baltimore),Medicine (Baltimore)
Elife,Elife
Redox Biology,Redox Biology
J. R. Soc. Interface,J. R. Soc. Interface
Sci Rep,Sci Rep
Sensors and Actuators B: Chemical,Sensors and Actuators B: Chemical
J Neurotrauma,J Neurotrauma
Science,Science
Oncotarget,Oncotarget
Angew Chem Int Ed Engl,Angew Chem Int Ed Engl
Chem Commun (Camb),Chem Commun (Camb)
Proc Natl Acad Sci U S A,Proc Natl Acad Sci U S A
Development,Development
Mov Disord,Mov Disord
Biochem Biophys Res Commun,Biochem Biophys Res Commun
Eur J Hum Genet,Eur J Hum Genet
Metabolism,Metabolism
Analyst,Analyst
Hepatology,Hepatology
Cell Signal,Cell Signal
Cell Sig,Cell Sig
NPG Asia Materials,NPG Asia Materials
EMBO Mol Med,EMBO Mol Med
J Neurosci Methods,J Neurosci Methods
Cancer Genet,Cancer Genet
Geroscience,Geroscience
Hum Mol Genet,Hum Mol Genet
ACS Infectious Diseases,ACS Infectious Diseases
Redox Biol,Redox Biol
Life Sci,Life Sci
Mech Ageing Dev,Mech Ageing Dev
Pharmacol Res Perspect,Pharmacol Res Perspect
Arch Toxicol,Arch Toxicol
PNAS,PNAS
Clin Transl Med,Clin Transl Med
Clin Cancer Res,Clin Cancer Res
Biofactors,Biofactors
Cancer Metab,Cancer Metab
Mol Cancer Ther,Mol Cancer Ther
Nat Med,Nat Med
Chembiochem,Chembiochem
J Toxicol Sci,J Toxicol Sci
J Cell Sci,J Cell Sci
Nat Protoc,Nat Protoc
Behav Brain Res,Behav Brain Res
J Neuroimmunol,J Neuroimmunol
Stem Cells Transl Med,Stem Cells Transl Med
J Hepatol,J Hepatol
Chem Res Toxicol,Chem Res Toxicol
Nat Genet,Nat Genet
Radiat Res,Radiat Res
FASEB,FASEB
J Appl Toxicol,J Appl Toxicol
J Innate Immun,J Innate Immun
Cancer Discov,Cancer Discov
Oncol Rep,Oncol Rep
FASEB J,FASEB J
J Neurochem,J Neurochem
Biochim Biophys Acta Mol Basis Dis,Biochim Biophys Acta Mol Basis Dis
J Am Heart Assoc,J Am Heart Assoc
Nat Cell Biol,Nat Cell Biol
Sci Transl Med,Sci Transl Med
Diabetologia,Diabetologia
Int J Oncol,Int J Oncol
Photochem Photobiol,Photochem Photobiol
J Gerontol A Biol Sci Med Sci,J Gerontol A Biol Sci Med Sci
,
Cancer Res,Cancer Res
Toxicol Lett,Toxicol Lett
Molecular Metabolism,Molecular Metabolism
J Funct Foods,J Funct Foods
Am J Physiol Cell Physiol,Am J Physiol Cell Physiol
Arterioscler Thromb Vasc Biol,Arterioscler Thromb Vasc Biol
Liver Int,Liver Int
Acta Neuropathol Commun,Acta Neuropathol Commun
J Cereb Blood Flow Metab,J Cereb Blood Flow Metab
Circ Heart Fail,Circ Heart Fail
J Agric Food Chem,J Agric Food Chem
Toxicol Sci,Toxicol Sci
Neuroscience,Neuroscience
Cell Chem Biol,Cell Chem Biol
J Clin Invest,J Clin Invest
J Clin Endocrinol Metab,J Clin Endocrinol Metab
Cancer Cell,Cancer Cell
Handb Exp Pharmacol,Handb Exp Pharmacol
Int J Obes (Lond),Int J Obes (Lond)
Mol Med Rep,Mol Med Rep
Artif Cells Nanomed Biotechnol.,Artif Cells Nanomed Biotechnol.
EMBO J,EMBO J
Aging Cell,Aging Cell
J Aging Res,J Aging Res
Cell Stem Cell,Cell Stem Cell
Aging,Aging
Cell Microbiol,Cell Microbiol
FEBS Lett,FEBS Lett
Environ Pollut,Environ Pollut
J Neurosci,J Neurosci
Acta Biochim Biophys Sin (Shanghai),Acta Biochim Biophys Sin (Shanghai)
Autophagy,Autophagy
Am J Physiol Renal Physiol,Am J Physiol Renal Physiol
Cancer Lett,Cancer Lett
J Pharm Innov,J Pharm Innov
Trans Res,Trans Res
Br J Pharmacol,Br J Pharmacol
J Nutr Biochem,J Nutr Biochem
eNeuro,eNeuro
Neurotoxicology,Neurotoxicology
Metab Brain Dis,Metab Brain Dis
Neurobiol Aging,Neurobiol Aging
Stem Cells Dev,Stem Cells Dev
EBioMedicine,EBioMedicine
Parkinsons Dis,Parkinsons Dis
Prog Neurobiol,Prog Neurobiol
J Bone Miner Res,J Bone Miner Res
Am J Physiol Lung Cell Mol Physiol,Am J Physiol Lung Cell Mol Physiol
Toxicon,Toxicon
MBio,MBio
Cell Mol Life Sci,Cell Mol Life Sci
Oxid Med Cell Longev,Oxid Med Cell Longev
J Nat Prod,J Nat Prod
Diabetes Obes Metab,Diabetes Obes Metab
J Mater Chem B,J Mater Chem B
J Mol Cell Cardiol,J Mol Cell Cardiol
